141,Bikkurimen,12,"Comédia, Fantasia",2023,??,https://www.anroll.net/a/BoRFlNdF70
142,Binan Koukou Chikyuu Bouei-bu HAPPY KISS!,11,"Comédia, Escola, Magia, Paródia, Slice of Life",2018,6.5,https://www.anroll.net/a/bQpThtOtci
143,Binan Koukou Chikyuu Bouei-bu LOVE LOVE!,12,"Comédia, Escola, Magia, Paródia, Slice of Life",2016,6.9,https://www.anroll.net/a/j668uL6kod
144,Binan Koukou Chikyuu Bouei-bu LOVE!,12,"Comédia, Escola, Magia, Paródia, Slice of Life",2015,7.0,https://www.anroll.net/a/B6JOTU7452
145,Birdie Wing: Golf Girls' Story 2,12,Esportes,2023,??,https://www.anroll.net/a/Xd6Dw8BMeA
146,Birdie Wing: Golf Girls’ Story,13,Esportes,2022,??,https://www.anroll.net/a/wT78ruysLs
147,Bishounen Tanteidan,12,"Escola, Mistério",2021,7.2,https://www.anroll.net/a/6LRUGNq9se
148,Black Bullet,13,"Ação, Ficção Científica, Mistério, Seinen",2014,7.1,https://www.anroll.net/a/szdAqSmgUL
149,Black Clover,170,"Ação, Comédia, Fantasia, Magia, Shounen",2017,8.1,https://www.anroll.net/a/4GqGbeOJIe
150,Black Clover - Dublado,51,"Ação, Comédia, Fantasia, Magia, Shounen",2017,8.1,https://www.anroll.net/a/CkRmpW1jHV
151,Black Lagoon,12,"Ação, Seinen",2006,8.0,https://www.anroll.net/a/q0nGRcCAvm
152,Black Lagoon: The Second Barrage,12,"Ação, Seinen",2006,8.2,https://www.anroll.net/a/njHCPlGBmZ
153,Black★★Rock Shooter: Dawn Fall,11,"Ação, Drama",2022,??,https://www.anroll.net/a/3OQvns7sE6
154,Bleach,366,"Ação, Aventura, Comédia, Shounen, Sobrenatural, Super Poderes",2004,7.8,https://www.anroll.net/a/VN73kT3Dp2
155,Bleach Dublado,366,"Ação, Aventura, Comédia, Shounen, Sobrenatural, Super Poderes",2004,??,https://www.anroll.net/a/gyY3FBeBzQ
156,Bleach: Sennen Kessen-hen,13,"Ação, Aventura, Fantasia",2022,??,https://www.anroll.net/a/ALkHq4nx3A
157,Bleach: Sennen Kessen-hen - Dublado,11,"Ação, Aventura, Fantasia",2022,??,https://www.anroll.net/a/HcAw2mykhs
158,Bleach: Sennen Kessen-hen - Ketsubetsu-tan (Part 2),13,"Ação, Aventura, Fantasia, Shounen",2023,??,https://www.anroll.net/a/zgPIUypKZl
159,Bleach: Sennen Kessen-hen - Ketsubetsu-tan (Part 2) - Dublado,3,"Ação, Aventura, Fantasia, Shounen",2023,??,https://www.anroll.net/a/CBFarqlo7o
160,Blend S,12,"Comédia, Slice of Life",2017,7.3,https://www.anroll.net/a/CUbzxvLV5h
161,Blood Lad,10,"Ação, Comédia, Demônios, Seinen, Sobrenatural, Vampiro",2013,7.3,https://www.anroll.net/a/VkZM8yB8tQ
162,Blue Archive the Animation,4,"Ação, Escola, Fantasia",2024,??,https://www.anroll.net/a/8h2MYSmitR
163,Blue Lock,24,Esportes,2022,??,https://www.anroll.net/a/eddKYXs0Gv
164,Blue Lock Dublado,24,Esportes,2022,??,https://www.anroll.net/a/54BuRQ9xSR
165,Blue Period,12,"Drama, Slice of Life",2021,7.8,https://www.anroll.net/a/4AWK11Vbxo
166,Blue Reflection Ray,24,"Escola, Magia",2021,5.8,https://www.anroll.net/a/4M8GQ9gD4X
167,BNA,12,"Ação, Fantasia, Super Poderes",2020,7.4,https://www.anroll.net/a/zS9PVLxnXn
168,Bocchi the Rock!,12,"Comédia, Música, Slice of Life",2022,??,https://www.anroll.net/a/C64yx4Kqmo
169,Boku dake ga Inai Machi (ERASED),12,"Mistério, Psicológico, Seinen, Sobrenatural",2016,8.3,https://www.anroll.net/a/GK3jJV7Wfq
170,Boku no Hero Academia,13,"Ação, Comédia, Escola, Shounen, Super Poderes",2016,8.0,https://www.anroll.net/a/SufLTqBgDP
171,Boku no Hero Academia 2,26,"Ação, Comédia, Escola, Shounen, Super Poderes",2017,8.2,https://www.anroll.net/a/r4kO7NQNEA
172,Boku no Hero Academia 3,25,"Ação, Comédia, Escola, Shounen, Super Poderes",2018,8.1,https://www.anroll.net/a/Zm44dVmZJl
173,Boku no Hero Academia 4,25,"Ação, Comédia, Escola, Shounen",2019,8.0,https://www.anroll.net/a/k4y0I6dpmc
174,Boku no Hero Academia 4 - OVAs,2,"Ação, Comédia, Escola, Shounen, Super Poderes",2020,8.1,https://www.anroll.net/a/u6W7acp2Pr
175,Boku no Hero Academia 5,25,"Ação, Comédia, Escola, Shounen, Super Poderes",2021,7.5,https://www.anroll.net/a/rX2ge5gU4M
176,Boku no Hero Academia 6,25,"Ação, Shounen, Super Poderes",2022,??,https://www.anroll.net/a/wJoDMepcKr
